stock_code,stock_name,stock_price,stock_state,ceiling_price,floor_price,stock_priv
000001.SZ,平安银行,13.54,正常交易,14.894,12.186,5
000002.SZ,万科A,31.84,正常交易,35.024,28.656,0
000004.SZ,国农科技,24.91,正常交易,27.401,22.419,3
000005.SZ,世纪星源,3.83,正常交易,4.213,3.447,5
000006.SZ,深振业A,6.87,正常交易,7.557,6.183,0
000007.SZ,全新好,7.38,正常交易,8.118,6.642,5
000008.SZ,神州高铁,4.84,正常交易,5.324,4.356,5
000009.SZ,中国宝安,6.59,正常交易,7.249,5.931,4
000010.SZ,美丽生态,3.76,正常交易,4.136,3.384,5
000011.SZ,深物业A,11.92,正常交易,13.112,10.728,4
000012.SZ,南玻A,5.58,正常交易,6.138,5.022,2
000014.SZ,沙河股份,12.25,正常交易,13.475,11.025,4
000016.SZ,深康佳A,5.31,正常交易,5.841,4.779,3
000017.SZ,深中华A,5.48,正常交易,6.028,4.932,0
000018.SZ,神州长城,2.9,正常交易,3.19,2.61,4
000019.SZ,深粮控股,8.66,正常交易,9.526,7.794,1
000020.SZ,深华发A,13.18,正常交易,14.498,11.862,5
000021.SZ,深科技,9.3,正常交易,10.23,8.37,0
000023.SZ,深天地A,15.72,正常交易,17.292,14.148,1
000025.SZ,特力A,35.25,正常交易,38.775,31.725,4
000026.SZ,飞亚达A,8.78,正常交易,9.658,7.902,5
000027.SZ,深圳能源,6.36,正常交易,6.996,5.724,1
000028.SZ,国药一致,48.88,正常交易,53.768,43.992,3
000029.SZ,深深房A,11.17,连续停牌超过3天,12.287,10.053,0
000030.SZ,富奥股份,5.45,正常交易,5.995,4.905,5
000031.SZ,大悦城,6.85,正常交易,7.535,6.165,2
000032.SZ,深桑达A,9.77,正常交易,10.747,8.793,1
000034.SZ,神州数码,16.31,正常交易,17.941,14.679,0
000035.SZ,中国天楹,5.17,正常交易,5.687,4.653,2
000036.SZ,华联控股,7.9,正常交易,8.69,7.11,3
000037.SZ,深南电A,13.65,正常交易,15.015,12.285,4
000038.SZ,深大通,13.56,正常交易,14.916,12.204,2
000039.SZ,中集集团,15.3,正常交易,16.83,13.77,2
000040.SZ,东旭蓝天,9.62,正常交易,10.582,8.658,2
000042.SZ,中洲控股,13.41,正常交易,14.751,12.069,1
000043.SZ,中航善达,9.29,正常交易,10.219,8.361,4
000045.SZ,深纺织A,7.88,正常交易,8.668,7.092,4
000046.SZ,泛海控股,7.89,正常交易,8.679,7.101,4
000048.SZ,*ST康达,23.71,正常交易,26.081,21.339,0
000049.SZ,德赛电池,34.66,正常交易,38.126,31.194,3
000050.SZ,深天马A,16.08,正常交易,17.688,14.472,3
000055.SZ,方大集团,7.9,正常交易,8.69,7.11,0
000056.SZ,皇庭国际,6.31,正常交易,6.941,5.679,0
000058.SZ,深赛格,7.09,正常交易,7.799,6.381,2
000059.SZ,华锦股份,7.36,正常交易,8.096,6.624,0
000060.SZ,中金岭南,5.55,正常交易,6.105,4.995,3
000061.SZ,农产品,6.2,正常交易,6.82,5.58,4
000062.SZ,深圳华强,23.51,正常交易,25.861,21.159,0
000063.SZ,中兴通讯,30.39,正常交易,33.429,27.351,2
000065.SZ,北方国际,13.62,正常交易,14.982,12.258,4
000066.SZ,中国长城,9.95,正常交易,10.945,8.955,0
000068.SZ,华控赛格,5.83,正常交易,6.413,5.247,3
000069.SZ,华侨城A,8.8,正常交易,9.68,7.92,1
000070.SZ,特发信息,14.08,正常交易,15.488,12.672,4
000078.SZ,海王生物,5.23,正常交易,5.753,4.707,4
000088.SZ,盐田港,6.76,正常交易,7.436,6.084,0
000089.SZ,深圳机场,9.17,正常交易,10.087,8.253,4
000090.SZ,天健集团,7.98,正常交易,8.778,7.182,3
000096.SZ,广聚能源,11.24,正常交易,12.364,10.116,1
000099.SZ,中信海直,8.28,正常交易,9.108,7.452,3
000100.SZ,TCL集团,3.91,正常交易,4.301,3.519,0
000150.SZ,宜华健康,12.53,正常交易,13.783,11.277,5
000151.SZ,中成股份,15.75,正常交易,17.325,14.175,5
000153.SZ,丰原药业,7.2,正常交易,7.92,6.48,0
000155.SZ,川能动力,4.99,正常交易,5.489,4.491,3
000156.SZ,华数传媒,11.71,正常交易,12.881,10.539,0
000157.SZ,中联重科,5.41,正常交易,5.951,4.869,0
000158.SZ,常山北明,6.42,正常交易,7.062,5.778,3
000159.SZ,国际实业,12.54,正常交易,13.794,11.286,3
000166.SZ,申万宏源,5.56,正常交易,6.116,5.004,4
000301.SZ,东方盛虹,6.39,正常交易,7.029,5.751,4
000333.SZ,美的集团,52.44,正常交易,57.684,47.196,4
000338.SZ,潍柴动力,13.2,正常交易,14.52,11.88,1
000400.SZ,许继电气,11.34,正常交易,12.474,10.206,2
000401.SZ,冀东水泥,18.42,正常交易,20.262,16.578,5
000402.SZ,金融街,9.17,正常交易,10.087,8.253,1
000403.SZ,振兴生化,27.65,正常交易,30.415,24.885,1
000404.SZ,长虹华意,5.09,正常交易,5.599,4.581,4
000407.SZ,胜利股份,4.88,正常交易,5.368,4.392,4
000408.SZ,藏格控股,12.06,正常交易,13.266,10.854,2
000409.SZ,*ST地矿,6.83,正常交易,7.513,6.147,3
000410.SZ,沈阳机床,8.06,正常交易,8.866,7.254,4
000411.SZ,英特集团,14.39,正常交易,15.829,12.951,0
000413.SZ,东旭光电,6.06,正常交易,6.666,5.454,3
000415.SZ,渤海租赁,4.78,正常交易,5.258,4.302,4
000416.SZ,民生控股,6.12,正常交易,6.732,5.508,0
000417.SZ,合肥百货,5.77,正常交易,6.347,5.193,1
000418.SZ,小天鹅A,62.42,正常交易,68.662,56.178,5
000419.SZ,通程控股,5.38,正常交易,5.918,4.842,0
000420.SZ,吉林化纤,2.78,正常交易,3.058,2.502,3
000421.SZ,南京公用,5.62,正常交易,6.182,5.058,3
000422.SZ,*ST宜化,4.97,正常交易,5.467,4.473,0
000423.SZ,东阿阿胶,49.4,正常交易,54.34,44.46,4
000425.SZ,徐工机械,4.96,正常交易,5.456,4.464,3
000426.SZ,兴业矿业,6.8,正常交易,7.48,6.12,1
000428.SZ,华天酒店,3.4,正常交易,3.74,3.06,5
000429.SZ,粤高速A,9.16,正常交易,10.076,8.244,5
000430.SZ,张家界,6.84,正常交易,7.524,6.156,5
000488.SZ,晨鸣纸业,7.21,正常交易,7.931,6.489,1
